time	V(N021,Vo_led7)	V(Vcc_led,Vi_led7)	I(D28)
5.245327526915768e-06	-5.565643e-02	1.545715e-01	7.945707e-03
5.245496267530759e-06	-5.523682e-02	1.522903e-01	8.380569e-03
5.245597631167804e-06	-5.500412e-02	1.509323e-01	8.573304e-03
5.245655787520365e-06	-5.485535e-02	1.501617e-01	8.716994e-03
5.245683059779652e-06	-5.479050e-02	1.498032e-01	8.764728e-03
5.245703445304848e-06	-5.474854e-02	1.495323e-01	8.788079e-03
5.245722955209675e-06	-5.469894e-02	1.492767e-01	8.831415e-03
5.245743141445740e-06	-5.464935e-02	1.490135e-01	8.864977e-03
5.245774950249996e-06	-5.457306e-02	1.485939e-01	8.918433e-03
5.245838567858508e-06	-5.442429e-02	1.477661e-01	9.017414e-03
5.245965803075532e-06	-5.413437e-02	1.461258e-01	9.190179e-03
5.246220273509581e-06	-5.356216e-02	1.429214e-01	9.448837e-03
5.246729214377677e-06	-5.246735e-02	1.367798e-01	9.711310e-03
5.247729214377677e-06	-5.046463e-02	1.254349e-01	9.713721e-03
5.248729214377677e-06	-4.862976e-02	1.149445e-01	9.326390e-03
5.249729214377677e-06	-4.697800e-02	1.053467e-01	8.714912e-03
5.250729214377677e-06	-4.547501e-02	9.654999e-02	8.035670e-03
5.251729214377677e-06	-4.410934e-02	8.848953e-02	7.361209e-03
5.252729214377677e-06	-4.287338e-02	8.110046e-02	6.723183e-03
5.253729214377677e-06	-4.174805e-02	7.432938e-02	6.133514e-03
5.254729214377677e-06	-4.071808e-02	6.812286e-02	5.594804e-03
5.255729214377677e-06	-3.977966e-02	6.243134e-02	5.105433e-03
5.256729214377677e-06	-3.892136e-02	5.721283e-02	4.662029e-03
5.257729214377677e-06	-3.813553e-02	5.243301e-02	4.260656e-03
5.258729214377677e-06	-3.741837e-02	4.805374e-02	3.897362e-03
5.259729214377677e-06	-3.676605e-02	4.403687e-02	3.568415e-03
5.260729214377677e-06	-3.615952e-02	4.035568e-02	3.270394e-03
5.261729214377677e-06	-3.560638e-02	3.698349e-02	3.000209e-03
5.262729214377677e-06	-3.509903e-02	3.389359e-02	2.755088e-03
5.263729214377677e-06	-3.462982e-02	3.105927e-02	2.532552e-03
5.264729214377677e-06	-3.419495e-02	2.846527e-02	2.330385e-03
5.265729214377677e-06	-3.379822e-02	2.608871e-02	2.146608e-03
5.266729214377677e-06	-3.343201e-02	2.391052e-02	1.979452e-03
5.267729214377677e-06	-3.309631e-02	2.191544e-02	1.827330e-03
5.268729214377677e-06	-3.277969e-02	2.008438e-02	1.688823e-03
5.269729214377677e-06	-3.248978e-02	1.840973e-02	1.562656e-03
5.270729214377677e-06	-3.222275e-02	1.687622e-02	1.447681e-03
5.271729214377677e-06	-3.196716e-02	1.546860e-02	1.342867e-03
5.272729214377677e-06	-3.173447e-02	1.417923e-02	1.247284e-03
5.273729214377677e-06	-3.152084e-02	1.300049e-02	1.160094e-03
5.274729214377677e-06	-3.131866e-02	1.191711e-02	1.080538e-03
5.275729214377677e-06	-3.112793e-02	1.092529e-02	1.007932e-03
5.276729214377677e-06	-3.095245e-02	1.001740e-02	9.416555e-04
5.277729214377677e-06	-3.078461e-02	9.185791e-03	8.811461e-04
5.278729214377677e-06	-3.063202e-02	8.426666e-03	8.258945e-04
5.279729214377677e-06	-3.048325e-02	7.728577e-03	7.754384e-04
5.280729214377677e-06	-3.034592e-02	7.087708e-03	7.293577e-04
5.281729214377677e-06	-3.021622e-02	6.504059e-03	6.872709e-04
5.282729214377677e-06	-3.009033e-02	5.966187e-03	6.488307e-04
5.283729214377677e-06	-2.997208e-02	5.477905e-03	6.137214e-04
5.284729214377677e-06	-2.986145e-02	5.027771e-03	5.816552e-04
5.285729214377677e-06	-2.975464e-02	4.611969e-03	5.523702e-04
5.286729214377677e-06	-2.965164e-02	4.234314e-03	5.256275e-04
5.287729214377677e-06	-2.955627e-02	3.890991e-03	5.012096e-04
5.288729214377677e-06	-2.946091e-02	3.574371e-03	4.789178e-04
5.289729214377677e-06	-2.937698e-02	3.280640e-03	4.585708e-04
5.290729214377677e-06	-2.928925e-02	3.017426e-03	4.400034e-04
5.291729214377677e-06	-2.920914e-02	2.773285e-03	4.230644e-04
5.292729214377677e-06	-2.912903e-02	2.548218e-03	4.076161e-04
5.293729214377677e-06	-2.905273e-02	2.346039e-03	3.935324e-04
5.294729214377677e-06	-2.897644e-02	2.159119e-03	3.806982e-04
