time	V(Vcc_led,Vi_led5)	V(Vi_led5,N001)	I(D6)
5.782210108030938e-06	0.000000e+00	5.340576e-05	3.859896e-09
5.783210108030939e-06	0.000000e+00	5.340576e-05	4.125468e-09
5.784210108030938e-06	0.000000e+00	5.340576e-05	3.747118e-09
5.785210108030938e-06	0.000000e+00	5.340576e-05	4.010872e-09
5.786210108030938e-06	0.000000e+00	5.340576e-05	3.637979e-09
5.787210108030938e-06	0.000000e+00	5.340576e-05	3.898094e-09
5.788210108030938e-06	0.000000e+00	5.340576e-05	3.532477e-09
5.789210108030938e-06	0.000000e+00	5.340576e-05	3.788955e-09
5.790210108030939e-06	0.000000e+00	5.340576e-05	3.428795e-09
5.791210108030938e-06	0.000000e+00	5.340576e-05	3.683454e-09
5.792210108030938e-06	0.000000e+00	5.340576e-05	3.330570e-09
5.793210108030938e-06	0.000000e+00	5.340576e-05	3.581590e-09
5.794210108030938e-06	0.000000e+00	5.340576e-05	3.232344e-09
5.795210108030939e-06	0.000000e+00	5.340576e-05	3.479727e-09
5.796210108030938e-06	0.000000e+00	5.340576e-05	3.137757e-09
5.797210108030938e-06	0.000000e+00	5.340576e-05	3.383320e-09
5.798210108030938e-06	0.000000e+00	5.340576e-05	3.048626e-09
5.799210108030938e-06	0.000000e+00	5.340576e-05	3.292371e-09
5.800210108030939e-06	0.000000e+00	5.340576e-05	2.961315e-09
5.801210108030938e-06	0.000000e+00	5.340576e-05	3.199602e-09
5.802210108030938e-06	0.000000e+00	5.340576e-05	2.872184e-09
5.803210108030938e-06	0.000000e+00	5.340576e-05	3.108653e-09
5.804210108030938e-06	0.000000e+00	5.340576e-05	2.790330e-09
5.805210108030938e-06	0.000000e+00	5.340576e-05	3.024979e-09
5.806210108030938e-06	0.000000e+00	5.340576e-05	2.710294e-09
5.807210108030939e-06	0.000000e+00	5.340576e-05	2.941306e-09
5.808210108030938e-06	0.000000e+00	5.340576e-05	2.632078e-09
5.809210108030938e-06	0.000000e+00	5.340576e-05	2.861270e-09
5.810210108030938e-06	0.000000e+00	5.340576e-05	2.555680e-09
5.811210108030938e-06	0.000000e+00	5.340576e-05	2.779416e-09
5.812210108030939e-06	0.000000e+00	5.340576e-05	2.481102e-09
5.813210108030938e-06	0.000000e+00	4.959106e-05	2.704837e-09
5.814210108030938e-06	0.000000e+00	4.959106e-05	2.408342e-09
5.815210108030938e-06	0.000000e+00	4.959106e-05	2.626621e-09
5.816210108030938e-06	0.000000e+00	4.959106e-05	2.337401e-09
5.817210108030939e-06	0.000000e+00	4.959106e-05	2.555680e-09
5.818210108030938e-06	0.000000e+00	4.959106e-05	2.270099e-09
5.819210108030939e-06	0.000000e+00	4.959106e-05	2.484740e-09
5.820210108030938e-06	0.000000e+00	4.959106e-05	2.204615e-09
5.821210108030938e-06	0.000000e+00	4.959106e-05	2.417437e-09
5.822210108030938e-06	0.000000e+00	4.959106e-05	2.142770e-09
5.823210108030938e-06	0.000000e+00	4.959106e-05	2.351953e-09
5.824210108030939e-06	0.000000e+00	4.959106e-05	2.079105e-09
5.825210108030938e-06	0.000000e+00	4.959106e-05	2.286470e-09
5.826210108030938e-06	0.000000e+00	4.959106e-05	2.020897e-09
5.827210108030938e-06	0.000000e+00	4.959106e-05	2.224624e-09
5.828210108030938e-06	0.000000e+00	4.959106e-05	1.960871e-09
